"timestamp","bid_price","bid_size","ask_price","ask_size"
0,197275,163,197325,92
60,197275,163,197300,40
438595,197275,113,197300,40
438643,197275,113,197300,62
1535404,197275,100,197300,62
1535437,197275,100,197300,64
3085751,197275,98,197300,64
3085801,197275,98,197300,66
4088141,197275,92,197300,66
4088156,197275,92,197300,69
5110543,197275,91,197300,69
5110558,197275,91,197300,70
6752589,197275,90,197300,70
7741938,197275,89,197300,70
8740211,197275,86,197300,70
8740260,197275,86,197300,71
9628999,197275,82,197300,71
9629014,197275,82,197300,70
13013584,197275,81,197300,70
14118493,197275,89,197300,70
14118515,197275,89,197300,68
18724402,197275,124,197300,68
18724416,197275,124,197300,49
19894154,197275,137,197300,49
19894196,197275,137,197300,4
20740048,197275,143,197300,4
20740056,197275,143,197300,11
21862245,197275,142,197300,11
21862259,197275,142,197300,7
22088491,197275,142,197300,57
22952743,197275,131,197300,57
22952757,197275,131,197300,86
24939129,197275,95,197300,86
24939172,197275,95,197300,94
25442545,197275,119,197300,94
25442589,197275,119,197300,62
25677447,197275,140,197300,62
25677458,197275,140,197300,5
26807818,197275,128,197300,5
26807846,197275,128,197300,22
27685551,197275,128,197300,30
28647565,197275,128,197300,27
29250890,197275,129,197300,27
29250933,197275,129,197300,4
29682988,197300,1,197325,180
29683087,197300,1,197325,181
30652211,197300,1,197325,180
30874138,197275,137,197325,180
30874174,197275,135,197325,180
30874191,197275,135,197300,5
31854521,197275,133,197300,5
31854550,197275,133,197300,7
32575472,197275,125,197300,7
32575506,197275,125,197300,32
33457782,197275,110,197300,32
33457826,197275,110,197300,39
34114079,197275,116,197300,39
34114119,197275,116,197300,14
35071417,197300,1,197325,177
35071432,197300,1,197325,169
36064322,197300,7,197325,169
36064335,197300,7,197325,171
36507648,197275,141,197325,171
36507735,197275,141,197300,3
37507217,197275,139,197300,3
37507266,197275,139,197300,11
38507999,197275,139,197300,9
39221718,197300,1,197325,172
40334402,197300,7,197325,172
40334433,197300,7,197325,170
41194446,197300,4,197325,170
41194489,197300,4,197325,171
42177973,197300,5,197325,171
43180722,197300,6,197325,171
43180763,197300,6,197325,172
44587251,197300,5,197325,172
46405400,197275,143,197325,172
46405437,197275,143,197300,3
47390758,197275,132,197300,3
47390773,197275,132,197300,25
48899678,197275,133,197300,25
49301314,197300,25,197325,175
50174371,197275,133,197325,175
50174385,197275,143,197325,175
50174391,197275,143,197300,40
51053002,197275,133,197300,40
51053044,197275,133,197300,44
51999693,197275,134,197300,44
51999736,197275,134,197300,45
53231476,197300,1,197325,173
54207649,197300,10,197325,173
54207678,197300,10,197325,175
55224728,197275,142,197325,175
55224764,197275,140,197325,175
55224823,197275,140,197300,5
55884343,197300,20,197325,172
55884435,197300,20,197325,169
56809964,197300,29,197325,169
56810006,197300,29,197325,166
57811252,197300,22,197325,166
57811295,197300,22,197325,167
58813466,197300,22,197325,168
59717889,197275,146,197325,168
59717940,197275,146,197300,5
60743540,197275,136,197300,5
60743583,197275,136,197300,10
61738283,197275,130,197300,10
61738324,197275,130,197300,17
62843469,197275,130,197300,15
63851630,197275,122,197300,15
63851673,197275,122,197300,16
64726814,197275,121,197300,16
64726829,197275,121,197300,35
65729902,197275,117,197300,35
65729916,197275,117,197300,56
66884539,197275,117,197300,57
67754145,197275,102,197300,57
67754175,197275,102,197300,67
68755545,197275,102,197300,74
69739310,197275,101,197300,74
70740345,197275,99,197300,74
70740400,197275,99,197300,76
71743504,197275,99,197300,75
73748152,197275,99,197300,78
74192692,197275,115,197300,78
74192720,197275,115,197300,45
75169591,197275,120,197300,45
75169620,197275,120,197300,36
76171812,197275,120,197300,32
77059325,197275,127,197300,32
77059367,197275,127,197300,31
77982014,197275,126,197300,31
78982207,197275,122,197300,31
78982244,197275,122,197300,50
80075257,197275,126,197300,50
80075309,197275,126,197300,32
82184751,197275,126,197300,31
83206624,197275,126,197300,33
84209632,197275,126,197300,35
85191921,197275,125,197300,35
86513857,197275,122,197300,35
87431108,197275,115,197300,35
87431150,197275,115,197300,55
88380290,197275,114,197300,55
89982846,197275,114,197300,57
90985111,197275,85,197300,57
90985154,197275,85,197300,74
91655404,197250,225,197300,74
91655419,197250,225,197275,16
91876511,197250,206,197275,16
91876543,197250,206,197275,58
92727463,197250,184,197275,58
92727517,197250,184,197275,78
93816272,197250,183,197275,78
93816343,197250,183,197275,82
94722882,197250,183,197275,80
95696653,197250,182,197275,80
95696669,197250,182,197275,81
96856426,197250,173,197275,81
96856477,197250,173,197275,100
98822947,197250,173,197275,99
99056127,197275,11,197300,73
99056171,197275,11,197300,70
99262109,197275,10,197300,70
99262143,197275,10,197300,72
100359911,197275,13,197300,72
100359965,197275,13,197300,69
101230904,197275,16,197300,69
101230954,197275,16,197300,51
102365687,197275,16,197300,49
103251971,197275,28,197300,49
103252023,197275,28,197300,47
104235226,197275,29,197300,47
104235273,197275,29,197300,46
105238083,197275,29,197300,48
106334786,197275,34,197300,48
106334909,197275,34,197300,47
108071471,197275,33,197300,47
108925353,197275,31,197300,47
109927586,197275,31,197300,48
110929824,197275,31,197300,50
111932508,197275,31,197300,47
112934878,197275,31,197300,48
113937722,197275,31,197300,52
115076297,197275,31,197300,53
116099371,197275,20,197300,53
116099391,197275,20,197300,54
117100071,197275,21,197300,54
119251135,197275,20,197300,54
119251179,197275,20,197300,53
121153749,197275,20,197300,54
122155683,197275,21,197300,54
122561572,197250,163,197300,54
122561586,197250,164,197300,54
122561593,197250,164,197275,3
122780800,197250,164,197300,57
122780806,197250,164,197300,72
122780809,197250,159,197300,72
122783884,197275,1,197300,72
122783894,197275,1,197300,69
123057568,197275,1,197300,66
123779011,197250,157,197300,66
123779037,197250,159,197300,66
123779056,197250,159,197275,2
123997899,197250,149,197275,2
123997929,197250,149,197275,5
125000824,197250,147,197275,5
125000859,197250,147,197275,12
125919986,197250,133,197275,12
125920024,197250,133,197275,29
127462215,197250,132,197275,29
128389739,197250,132,197275,32
129270739,197250,132,197275,33
130393270,197250,129,197275,33
130393313,197250,129,197275,32
131312032,197250,112,197275,32
131312069,197250,112,197275,46
132422800,197250,111,197275,46
132422896,197250,111,197275,47
133412867,197225,132,197275,47
133412902,197225,127,197275,47
133412918,197225,127,197250,24
134297528,197225,106,197250,24
134297555,197225,106,197250,35
135400749,197225,106,197250,40
136301301,197225,106,197250,44
137303419,197225,106,197250,43
138448290,197225,104,197250,43
138448333,197225,104,197250,47
139328910,197225,88,197250,47
139328953,197225,88,197250,50
140310452,197225,87,197250,50
140310493,197225,87,197250,48
141452843,197225,71,197250,48
141452863,197225,71,197250,53
142360653,197225,68,197250,53
142360654,197225,68,197250,67
143513721,197225,78,197250,67
144440300,197225,76,197250,67
144440341,197225,76,197250,60
145442978,197225,78,197250,60
145442991,197225,78,197250,57
146346656,197225,76,197250,57
146346697,197225,76,197250,63
147442514,197225,76,197250,61
148447875,197225,79,197250,61
148447916,197225,79,197250,60
149331881,197225,75,197250,60
149331920,197225,75,197250,63
150453159,197225,76,197250,63
151364403,197225,76,197250,64
152457682,197225,76,197250,65
153340438,197225,75,197250,65
154343230,197225,74,197250,65
155442349,197225,96,197250,65
155442391,197225,96,197250,51
156348531,197225,97,197250,51
156348574,197225,97,197250,49
157055437,197250,36,197275,73
157055452,197250,36,197275,53
158159795,197250,35,197275,53
158159802,197250,35,197275,45
158371741,197250,18,197275,45
158589592,197225,114,197275,45
158589628,197225,78,197275,45
158589646,197225,78,197250,21
158812445,197225,67,197250,21
158812474,197225,67,197250,39
159285099,197225,36,197250,39
159285127,197225,36,197250,45
160353526,197225,35,197250,45
160353571,197225,35,197250,47
161180356,197225,35,197250,45
162282339,197225,35,197250,46
163264503,197225,42,197250,46
163264517,197225,42,197250,49
164395842,197225,40,197250,49
165268868,197225,43,197250,49
165268882,197225,43,197250,50
165931085,197225,18,197250,50
166150970,197225,45,197250,50
166150973,197225,45,197250,63
167093095,197225,46,197250,63
167093097,197225,46,197250,55
168111931,197225,36,197250,55
168111963,197225,36,197250,57
168977638,197225,39,197250,57
169980212,197225,38,197250,57
170983234,197225,50,197250,57
170983249,197225,50,197250,55
172895937,197225,100,197250,55
172895985,197225,100,197250,14
173117202,197250,17,197275,83
173117240,197250,17,197275,62
174038113,197250,17,197275,49
174894628,197250,1,197275,49
174894662,197250,1,197275,53
175493774,197250,1,197275,48
176155439,197225,161,197275,48
176155490,197225,161,197275,49
176160648,197250,1,197275,49
176614900,197250,1,197275,50
176833497,197250,1,197275,49
178151677,197250,8,197275,49
178375815,197225,160,197275,49
178375828,197225,161,197275,49
178375839,197225,161,197250,2
179254718,197225,149,197250,2
179254722,197225,149,197250,9
180245627,197225,155,197250,9
180245656,197225,155,197250,5
181108889,197225,155,197250,10
181329531,197225,154,197250,10
181329561,197225,154,197250,42
182248965,197225,144,197250,42
182248980,197225,144,197250,48
183251236,197225,145,197250,48
184018364,197200,128,197250,48
184018405,197200,116,197250,48
184018433,197200,116,197225,46
185021555,197200,84,197225,46
186122984,197200,83,197225,46
186123014,197200,83,197225,49
187088976,197200,81,197225,49
187089021,197200,81,197225,47
188182085,197200,81,197225,51
189081027,197200,80,197225,51
189081061,197200,80,197225,76
189961305,197200,78,197225,76
191051148,197200,77,197225,76
192011011,197200,83,197225,76
192011055,197200,83,197225,74
193130376,197200,85,197225,74
193130420,197200,85,197225,75
194980668,197200,86,197225,75
195964581,197200,88,197225,75
195964601,197200,88,197225,76
196368697,197175,333,197225,76
196368714,197150,168,197225,76
196368716,197150,109,197225,76
196368723,197150,109,197175,63
197371496,197150,106,197175,63
197371507,197150,106,197175,99
198376591,197150,104,197175,99
198376598,197150,104,197175,100
199500282,197150,74,197175,100
199500296,197150,74,197175,102
199714054,197125,104,197175,102
199714090,197125,95,197175,102
199714108,197125,95,197150,60
199939672,197125,69,197150,60
199939682,197125,69,197150,81
201033585,197125,68,197150,81
201033630,197125,68,197150,84
202040132,197125,66,197150,84
202040172,197125,66,197150,79
202939820,197125,65,197150,79
202939879,197125,65,197150,77
203583886,197125,87,197150,77
203583930,197125,87,197150,50
204461746,197125,85,197150,50
204461788,197125,85,197150,35
205288006,197125,82,197150,35
205288049,197125,82,197150,33
206427464,197125,83,197150,33
206653045,197125,79,197150,33
206653047,197125,79,197150,83
207526510,197125,78,197150,83
207526516,197125,78,197150,84
208623282,197125,67,197150,84
208623285,197125,67,197150,89
209542759,197125,65,197150,89
209542781,197125,65,197150,105
209766305,197100,156,197150,105
209766341,197075,152,197150,105
209766347,197075,131,197150,105
209766378,197075,131,197100,55
210011213,197075,94,197100,55
210011223,197075,94,197100,76
211944656,197075,103,197100,76
211944687,197075,103,197100,73
212843266,197075,102,197100,73
212843273,197075,102,197100,76
213969932,197075,104,197100,76
213969978,197075,104,197100,80
214410251,197100,83,197125,301
214852778,197075,118,197125,301
214852815,197075,138,197125,301
214852844,197075,138,197100,142
215969594,197075,129,197100,142
215969617,197075,129,197100,185
216837414,197075,114,197100,185
216837446,197075,114,197100,165
217938432,197075,92,197100,165
218843099,197075,92,197100,167
219846744,197075,116,197100,167
219846788,197075,116,197100,168
220860672,197075,118,197100,168
220860716,197075,118,197100,163
221731893,197075,124,197100,163
221731937,197075,124,197100,129
222758018,197075,115,197100,129
222758054,197075,115,197100,127
223857039,197075,109,197100,127
223857077,197075,109,197100,125
224867842,197075,110,197100,125
225760199,197075,113,197100,125
225760213,197075,113,197100,102
226899133,197075,113,197100,106
227885012,197075,113,197100,104
228767055,197075,115,197100,104
229776133,197075,190,197100,104
229776174,197075,190,197100,99
230936574,197075,184,197100,99
231896292,197075,184,197100,98
232874530,197075,180,197100,98
232874544,197075,180,197100,101
233760271,197075,180,197100,106
234763450,197075,208,197100,106
234763491,197075,208,197100,105
235884144,197075,214,197100,105
235884181,197075,214,197100,88
236109790,197100,100,197125,131
236109835,197100,100,197125,113
237209304,197100,110,197125,113
237209316,197100,110,197125,98
237226743,197100,121,197125,98
237226755,197100,121,197125,50
237894308,197125,40,197150,132
237894369,197125,40,197150,129
238319974,197125,47,197150,129
238319987,197125,47,197150,73
239213112,197125,57,197150,73
239213155,197125,57,197150,47
240340056,197125,44,197150,47
240340086,197125,44,197150,21
241237048,197125,50,197150,21
241237092,197125,50,197150,7
242181863,197125,105,197150,7
242181870,197125,105,197150,6
243186221,197150,1,197175,158
243186235,197150,1,197175,153
243842302,197150,1,197175,135
244787613,197150,6,197175,135
244787647,197150,6,197175,132
245446606,197150,1,197175,132
245668105,197125,131,197175,132
245668141,197125,128,197175,132
245668157,197125,128,197175,135
245886976,197125,128,197150,5
245887019,197125,126,197150,5
246325464,197150,16,197175,130
246325500,197150,16,197175,128
247206581,197150,1,197175,128
247206621,197150,1,197175,127
247863300,197125,122,197175,127
247863389,197125,122,197150,1
248744350,197125,117,197150,1
248744393,197125,117,197150,26
249700264,197125,115,197150,26
249700306,197125,115,197150,27
250146643,197150,44,197175,130
250146680,197150,44,197175,37
251044358,197150,50,197175,37
251044372,197150,50,197175,32
252006395,197150,46,197175,32
252006431,197150,46,197175,36
252927184,197150,46,197175,16
253513472,197125,124,197175,16
253513520,197125,127,197175,16
253513549,197125,127,197150,98
254512144,197125,91,197150,98
254512197,197125,91,197150,117
255514368,197125,94,197150,117
255514383,197125,94,197150,114
256516990,197125,95,197150,114
257673571,197125,95,197150,108
258552890,197125,95,197150,155
259526443,197125,77,197150,155
259526494,197125,77,197150,169
260527046,197125,93,197150,169
260527088,197125,93,197150,155
261529544,197125,93,197150,153
262532056,197125,89,197150,153
263851509,197125,90,197150,153
264752308,197125,90,197150,117
267345468,197125,89,197150,117
269348016,197125,82,197150,117
269348030,197125,82,197150,138
270350585,197125,80,197150,138
270350600,197125,80,197150,139
271448781,197125,90,197150,139
271448824,197125,90,197150,126
272374681,197125,91,197150,126
272374723,197125,91,197150,115
273357846,197125,91,197150,114
274359401,197125,90,197150,114
274359416,197125,90,197150,115
276482794,197125,90,197150,116
278787267,197125,90,197150,115
279798631,197125,120,197150,115
279798674,197125,120,197150,113
280731452,197125,120,197150,112
281791441,197125,121,197150,112
281791485,197125,121,197150,113
282800024,197125,122,197150,113
282800067,197125,122,197150,63
283799213,197125,123,197150,63
284803873,197125,122,197150,63
285805312,197125,121,197150,63
285805356,197125,121,197150,64
286807663,197125,121,197150,63
287810718,197125,120,197150,63
287810750,197125,120,197150,74
288723037,197125,94,197150,74
288723047,197125,94,197150,85
289833080,197125,100,197150,85
289833123,197125,100,197150,84
290836103,197125,101,197150,84
291494209,197125,96,197150,84
291494252,197125,96,197150,27
291509224,197125,138,197150,27
291509267,197125,138,197150,1
292703307,197125,131,197150,1
292703322,197125,131,197150,50
293800836,197125,131,197150,51
294827099,197125,131,197150,53
295709754,197125,140,197150,53
296838152,197125,139,197150,53
297737861,197125,139,197150,52
300607246,197125,140,197150,52
303010656,197125,134,197150,52
303010693,197125,134,197150,58
304232730,197125,136,197150,58
305234787,197125,136,197150,61
306232647,197125,137,197150,61
308636000,197125,136,197150,61
309634250,197125,129,197150,61
310676141,197125,129,197150,53
311636650,197125,128,197150,53
312656536,197125,128,197150,54
313653733,197125,128,197150,55
314642056,197125,128,197150,61
315682186,197125,127,197150,61
317750349,197125,127,197150,62
318424748,197100,108,197150,62
318424783,197100,92,197150,62
318424800,197100,92,197125,11
318628181,197100,94,197125,11
318628224,197100,94,197125,1
319513412,197100,74,197125,1
319513425,197100,74,197125,15
320477151,197100,78,197125,15
320477197,197100,78,197125,17
320914324,197125,1,197150,115
321985000,197125,17,197150,115
321985034,197125,17,197150,104
322984250,197125,10,197150,104
322984265,197125,10,197150,98
323865843,197125,9,197150,98
324867136,197125,9,197150,99
325671375,197100,101,197150,99
325671452,197100,101,197125,38
326791379,197100,98,197125,38
326791428,197100,98,197125,92
327674541,197100,94,197125,92
327674586,197100,94,197125,95
328701645,197100,98,197125,95
328701680,197100,98,197125,96
330579777,197100,93,197125,96
331582614,197100,91,197125,96
332024485,197075,201,197125,96
332024532,197075,201,197100,31
333034897,197075,187,197100,31
333034910,197075,187,197100,46
333889011,197075,186,197100,46
333889040,197075,186,197100,57
334890512,197075,187,197100,57
336004632,197075,187,197100,59
336895962,197075,187,197100,61
339020609,197075,186,197100,61
339020650,197075,186,197100,51
340059223,197075,186,197100,47
340923987,197075,187,197100,47
341905555,197075,189,197100,47
341905599,197075,189,197100,48
342907373,197075,189,197100,49
343909783,197075,190,197100,49
343909827,197075,190,197100,47
344912208,197075,189,197100,47
345914750,197075,188,197100,47
345914791,197075,188,197100,48
346954191,197075,189,197100,48
347218342,197100,33,197125,114
347218365,197100,33,197125,109
348221690,197100,31,197125,109
348221697,197100,31,197125,92
349319422,197100,19,197125,92
349319467,197100,19,197125,91
350354896,197100,39,197125,91
351315476,197100,39,197125,74
353452829,197100,40,197125,74
354449008,197100,42,197125,74
354449020,197100,42,197125,75
355389069,197100,44,197125,75
355389077,197100,44,197125,76
356389007,197100,49,197125,76
356389019,197100,49,197125,79
357485463,197100,49,197125,92
358457601,197100,41,197125,92
358457645,197100,41,197125,91
359459212,197100,44,197125,91
359459250,197100,44,197125,90
360453743,197100,45,197125,90
361473380,197100,46,197125,90
361473424,197100,46,197125,89
362466353,197100,45,197125,89
363350147,197100,45,197125,88
364351775,197100,46,197125,88
364351818,197100,46,197125,87
365353080,197100,45,197125,87
365353097,197100,45,197125,89
366380608,197100,46,197125,89
366380622,197100,46,197125,91
367357095,197100,48,197125,91
368539474,197100,45,197125,91
369541129,197100,46,197125,91
369541143,197100,46,197125,89
370355489,197100,45,197125,89
370355526,197100,45,197125,88
371056555,197100,23,197125,88
371056601,197100,23,197125,100
371885240,197075,202,197125,100
371885246,197075,193,197125,100
371885264,197075,193,197100,62
372542310,197075,168,197100,62
372542317,197075,168,197100,112
372763651,197050,169,197100,112
372763652,197025,105,197100,112
372763653,197025,90,197100,112
372763655,197025,90,197050,1
372989443,197025,93,197050,1
372989447,197025,93,197050,3
373721061,197025,92,197050,3
373721108,197025,92,197050,21
374164179,197050,2,197075,78
374171423,197025,92,197075,78
374171424,197025,95,197075,78
374171437,197025,95,197050,1
374822400,197025,88,197050,1
374822406,197025,88,197050,17
375483166,197050,23,197075,71
375483170,197050,23,197075,67
376143670,197075,16,197100,108
376143726,197075,16,197100,109
377238685,197075,18,197100,109
377238691,197075,18,197100,102
377458553,197050,318,197100,102
377458569,197050,318,197075,4
377676782,197050,318,197100,102
377676819,197050,318,197100,105
377676830,197050,315,197100,105
377678952,197075,1,197100,105
377678984,197075,1,197100,102
377897091,197050,316,197100,102
377897098,197050,320,197100,102
377898304,197050,320,197075,1
377898312,197050,317,197075,1
378764581,197075,3,197100,102
378764589,197075,3,197100,105
378975775,197075,1,197100,105
378975783,197075,1,197100,103
379845528,197075,5,197100,103
380399421,197050,309,197100,103
380839920,197075,245,197100,103
381722231,197075,248,197100,103
381722273,197075,248,197100,76
382829985,197075,248,197100,71
383592367,197100,2,197125,108
383592379,197100,2,197125,94
384592443,197100,14,197125,94
385748210,197100,31,197125,94
386627544,197100,40,197125,94
386627548,197100,40,197125,68
387726353,197100,40,197125,69
388720006,197100,41,197125,69
389160146,197100,61,197125,69
